scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,topology,mode,Ethereum,hypercube,tps_positive_commit,iqr_pct,mean,12,12,156,12,14,22.490988673807035,15.993763112341835,29.943671756234192
six_workloads,topology,mode,Ethereum,hypercube,tps_positive_commit,iqr_pct,median,12,12,156,12,14,21.134476715791884,11.086036602869344,26.059074752913343
six_workloads,topology,mode,Ethereum,hypercube,tps_positive_commit,sample_std_pct,mean,12,12,156,12,14,19.599871951977292,15.922338193742785,21.209039192336963
six_workloads,topology,mode,Ethereum,hypercube,tps_positive_commit,sample_std_pct,median,12,12,156,12,14,17.859973338957893,13.238906158739114,19.42029205483132
six_workloads,topology,mode,Ethereum,scale-free,tps_positive_commit,iqr_pct,mean,12,12,157,13,14,29.56110106777911,21.530455202794727,38.345757558407776
six_workloads,topology,mode,Ethereum,scale-free,tps_positive_commit,iqr_pct,median,12,12,157,13,14,25.814724037763266,14.31815969678117,31.528201835870885
six_workloads,topology,mode,Ethereum,scale-free,tps_positive_commit,sample_std_pct,mean,12,12,157,13,14,24.123696281391613,19.693752041696442,26.512028014618494
six_workloads,topology,mode,Ethereum,scale-free,tps_positive_commit,sample_std_pct,median,12,12,157,13,14,21.69256630259897,15.47583420892662,24.30851678706232
six_workloads,topology,mode,Ethereum,torus,tps_positive_commit,iqr_pct,mean,12,12,167,13,16,34.81440499937002,24.27152269082331,42.14738858406975
six_workloads,topology,mode,Ethereum,torus,tps_positive_commit,iqr_pct,median,12,12,167,13,16,19.52971660755484,13.027013216644658,28.85032889980946
six_workloads,topology,mode,Ethereum,torus,tps_positive_commit,sample_std_pct,mean,12,12,167,13,16,25.491910087524122,21.040345826626655,27.75770754099732
six_workloads,topology,mode,Ethereum,torus,tps_positive_commit,sample_std_pct,median,12,12,167,13,16,22.17582455468868,13.574392597072293,25.035855480335762
six_workloads,topology,mode,Quorum,fat-tree,tps_positive_commit,iqr_pct,mean,12,6,62,3,14,41.6519440407369,23.476464935939916,75.6355042136858
six_workloads,topology,mode,Quorum,fat-tree,tps_positive_commit,iqr_pct,median,12,6,62,3,14,44.9382657762525,13.286572169746941,75.47302087221237
six_workloads,topology,mode,Quorum,fat-tree,tps_positive_commit,sample_std_pct,mean,12,6,62,3,14,62.81252102911091,30.03815982347221,66.15075514487033
six_workloads,topology,mode,Quorum,fat-tree,tps_positive_commit,sample_std_pct,median,12,6,62,3,14,45.09154463125647,30.86497764088418,50.914510892204426
six_workloads,topology,mode,Quorum,full mesh,tps_positive_commit,iqr_pct,mean,12,6,64,2,18,49.162891774772866,23.182789004867864,69.04540235393888
six_workloads,topology,mode,Quorum,full mesh,tps_positive_commit,iqr_pct,median,12,6,64,2,18,43.30987536395335,11.816021639269458,66.86233290477986
six_workloads,topology,mode,Quorum,full mesh,tps_positive_commit,sample_std_pct,mean,12,6,64,2,18,49.851034780269636,29.711584548979154,55.708045538754995
six_workloads,topology,mode,Quorum,full mesh,tps_positive_commit,sample_std_pct,median,12,6,64,2,18,51.612575244088276,25.104213628522796,57.87101685900699
six_workloads,topology,mode,Quorum,hypercube,tps_positive_commit,iqr_pct,mean,12,6,66,4,17,65.87047379129906,29.50004313651231,95.10109552265754
six_workloads,topology,mode,Quorum,hypercube,tps_positive_commit,iqr_pct,median,12,6,66,4,17,71.84623346379016,15.562244263202487,101.8653739523873
six_workloads,topology,mode,Quorum,hypercube,tps_positive_commit,sample_std_pct,mean,12,6,66,4,17,65.45872125973659,39.52870083473699,78.01303738614317
six_workloads,topology,mode,Quorum,hypercube,tps_positive_commit,sample_std_pct,median,12,6,66,4,17,60.682468423589725,32.127436335476844,70.73797358086622
six_workloads,topology,mode,Quorum,scale-free,tps_positive_commit,iqr_pct,mean,12,6,67,5,16,64.9601103404014,30.254028545129874,88.83588013597854
six_workloads,topology,mode,Quorum,scale-free,tps_positive_commit,iqr_pct,median,12,6,67,5,16,72.75869759143623,17.85010803104983,96.1350002203656
six_workloads,topology,mode,Quorum,scale-free,tps_positive_commit,sample_std_pct,mean,12,6,67,5,16,56.482887599535076,40.67746694171658,63.29150394720792
six_workloads,topology,mode,Quorum,scale-free,tps_positive_commit,sample_std_pct,median,12,6,67,5,16,56.5971976531542,34.802989366353195,64.65314671377459
six_workloads,topology,mode,Quorum,torus,tps_positive_commit,iqr_pct,mean,12,6,60,2,18,61.60642978273794,19.822664313143786,74.30530666639405
six_workloads,topology,mode,Quorum,torus,tps_positive_commit,iqr_pct,median,12,6,60,2,18,53.42229254125077,6.096702507295311,74.5086799064853
six_workloads,topology,mode,Quorum,torus,tps_positive_commit,sample_std_pct,mean,12,6,60,2,18,63.189774763286586,27.33925164135267,74.645671728749
six_workloads,topology,mode,Quorum,torus,tps_positive_commit,sample_std_pct,median,12,6,60,2,18,47.21669255665308,14.255712348273413,55.860382918886785
six_workloads,topology,mode,Solana,fat-tree,tps_positive_commit,iqr_pct,mean,12,8,73,2,13,72.90196245578889,41.03708179694355,87.54336646595085
six_workloads,topology,mode,Solana,fat-tree,tps_positive_commit,iqr_pct,median,12,8,73,2,13,67.67898753136281,25.930084191169943,91.66964629297964
six_workloads,topology,mode,Solana,fat-tree,tps_positive_commit,sample_std_pct,mean,12,8,73,2,13,59.755483483764834,39.03396627624962,65.3896550042388
six_workloads,topology,mode,Solana,fat-tree,tps_positive_commit,sample_std_pct,median,12,8,73,2,13,65.36098275319483,32.157452246816526,73.75582655486929
six_workloads,topology,mode,Solana,full mesh,tps_positive_commit,iqr_pct,mean,12,7,93,12,15,27.605776152583896,18.49015920569109,39.388417515839635
six_workloads,topology,mode,Solana,full mesh,tps_positive_commit,iqr_pct,median,12,7,93,12,15,19.609451919921234,10.88255211677528,39.33574656964135
six_workloads,topology,mode,Solana,full mesh,tps_positive_commit,sample_std_pct,mean,12,7,93,12,15,27.622911148102354,20.32955835926827,31.27487789373636
six_workloads,topology,mode,Solana,full mesh,tps_positive_commit,sample_std_pct,median,12,7,93,12,15,22.210079469804164,13.909380998206355,35.219320396997475
six_workloads,topology,mode,Solana,hypercube,tps_positive_commit,iqr_pct,mean,12,7,91,12,14,61.87006447522134,36.03859648479945,76.81631196693058
six_workloads,topology,mode,Solana,hypercube,tps_positive_commit,iqr_pct,median,12,7,91,12,14,61.11490174672489,20.11539607483162,80.55924598931415
six_workloads,topology,mode,Solana,hypercube,tps_positive_commit,sample_std_pct,mean,12,7,91,12,14,46.02593097211559,36.35037173347575,52.26448622602507
