blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Algorand,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,6.513179475264624,4.078762688501663,8.196276000963266
Algorand,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,33.281560853024324,11.901581379419673,68.08642112103587
Algorand,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,25.94320766173122,14.722654591809299,34.0110161260966
Algorand,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,88.99894100791128,17.645487094533216,119.42014899601857
Algorand,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,50.05506064411358,31.019982457500596,66.36314113347866
Algorand,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,78.97610921501705,29.83355050017695,127.94015396976997
Algorand,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,58.71531269632009,35.79645025775601,78.13357797127117
Algorand,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,23.484410157505632,7.573957624140811,95.10743458063807
Algorand,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,30.817937262628117,11.501819850093243,46.75072436272993
Algorand,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,13.942513942513942,3.865837612083718,48.11897949904471
Algorand,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,20.31133515473599,6.154266679916523,30.116828525347195
Algorand,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,39.36170212765959,5.48158262420045,60.90806633096788
Algorand,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,25.750688004392472,17.14587890024461,31.09320154869631
Algorand,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,9.457592780182335,4.330762167777925,45.1525332966199
Algorand,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,22.271113952985512,9.647700865776407,32.47437105117753
Algorand,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.3629836457917919,0.10356915232633133,0.4670472236637289
Algorand,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.26492967324110933,0.15026413158322166,0.35902160556977286
Algorand,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.5190035132545512,0.0,0.7794715184320276
Algorand,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,0.40098625134109517,0.20006761992910058,0.5463208230800866
Algorand,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,3.0252358457700925,1.1777319461686029,5.373984082765769
Algorand,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,2.321114786072915,1.372244317767818,2.8020536809118406
Algorand,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,19.30832610581094,4.477013334010347,32.21073573885691
Algorand,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,13.65774598876493,9.494495657638328,15.950662414889369
Algorand,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,10.132031426491633,2.0824845528105254,21.54809897585267
Algorand,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,8.38094527377686,4.122931799695512,10.60158157741003
Algorand,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,20.209689081706433,2.107031862004857,51.828611258673824
Algorand,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,23.733756014096286,11.362346565293807,34.427366229159276
Algorand,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,17,95.10158641803507,44.420263624929724,150.49514059112693
