blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,average_throughput_count,average_throughput_mean,average_throughput_max,average_throughput_min,average_throughput_q25,average_throughput_q75,average_throughput_std,average_latency_count,average_latency_mean,average_latency_max,average_latency_min,average_latency_q25,average_latency_q75,average_latency_std,energy_count,energy_mean,energy_max,energy_min,energy_q25,energy_q75,energy_std,commit_number_mean,average_throughput_min_perc,average_throughput_max_perc,average_throughput_iqr,average_throughput_iqr_perc,average_throughput_delta_abs,average_throughput_std_perc,average_latency_min_perc,average_latency_max_perc,average_latency_iqr,average_latency_iqr_perc,average_latency_delta_abs,average_latency_std_perc,energy_min_perc,energy_max_perc,energy_iqr,energy_iqr_perc,energy_delta_abs,energy_std_perc
Quorum,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,2.4692,16.0000,0.0000,0.0000,0.3000,5.5104,13,14.4469,100.0400,0.0000,0.0000,3.6600,31.4922,13,22.1639,27.5271,15.6229,19.5910,24.5435,3.5415,738.0769,,547.9751,0.3000,12.1495,16.0000,223.1607,,592.4658,3.6600,25.3341,100.0400,217.9852,-29.5119,24.1976,4.9525,22.3448,11.9041,15.9789
Quorum,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,15,7.3600,17.1000,0.0000,3.0500,11.2000,5.3540,15,9.2940,16.0600,2.3700,6.8400,10.5300,3.7672,15,21.8974,31.0560,16.8733,19.0172,23.4513,4.1360,2209.0667,,132.3370,8.1500,110.7337,17.1000,72.7447,-74.4997,72.7997,3.6900,39.7030,13.6900,40.5333,-22.9438,41.8253,4.4341,20.2494,14.1827,18.8883
Quorum,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,10.5866,13.0671,6.2788,9.7858,11.5608,1.9106,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-40.6911,23.4299,1.7750,16.7667,6.7883,18.0474
Quorum,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,10.5185,12.6436,6.8481,9.6832,11.5937,1.4819,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-34.8947,20.2039,1.9105,18.1634,5.7955,14.0885
Quorum,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,9.4559,13.1974,5.4212,7.5425,10.8024,2.2902,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-42.6693,39.5671,3.2599,34.4747,7.7762,24.2197
Quorum,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,8.9451,11.1251,6.7121,7.9198,9.8476,1.2124,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-24.9637,24.3713,1.9278,21.5513,4.4131,13.5541
Quorum,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,12,70.5917,110.9000,31.8000,52.8750,96.6750,26.1734,12,95.6308,156.4300,53.3900,79.2475,107.7775,29.4098,12,14.1604,18.2173,10.0374,12.9333,14.9689,2.4008,12761.1667,-54.9522,57.1007,43.8000,62.0470,79.1000,37.0771,-44.1707,63.5769,28.5300,29.8335,103.0400,30.7535,-29.1164,28.6495,2.0356,14.3756,8.1799,16.9546
Quorum,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,17,5.3353,25.6000,0.0000,0.0000,7.0000,8.4054,17,38.2165,141.3300,0.0000,0.0000,40.7900,57.1393,17,14.5065,17.2385,10.1847,13.9784,15.6451,1.8803,965.0000,,379.8236,7.0000,131.2018,25.6000,157.5424,,269.8144,40.7900,106.7341,141.3300,149.5149,-29.7919,18.8330,1.6667,11.4890,7.0538,12.9616
Quorum,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,20.3450,26.5878,15.6691,16.7054,22.8266,3.6372,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-22.9830,30.6846,6.1211,30.0868,10.9187,17.8776
Quorum,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,22.7573,27.7994,18.0464,20.0700,24.4090,3.0300,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-20.7003,22.1562,4.3391,19.0667,9.7530,13.3145
Quorum,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,15,147.8800,195.4000,30.6000,74.9500,195.1000,69.7570,15,40.6553,176.9600,10.0900,10.3250,58.6300,52.2235,15,23.0320,27.7064,19.7622,21.2091,24.0061,2.3795,44355.5333,-79.3075,32.1342,120.1500,81.2483,164.8000,47.1714,-75.1816,335.2688,48.3050,118.8159,166.8700,128.4542,-14.1966,20.2952,2.7970,12.1441,7.9442,10.3312
Quorum,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,16,194.5312,195.0000,193.9000,194.2750,194.7250,0.3321,16,8.1844,8.5300,5.0200,8.3475,8.4500,0.8473,16,23.1603,27.7026,18.8108,20.6783,25.2088,2.9684,58349.2500,-0.3245,0.2410,0.4500,0.2313,1.1000,0.1707,-38.6636,4.2230,0.1025,1.2524,3.5100,10.3523,-18.7799,19.6124,4.5305,19.5617,8.8918,12.8167
Quorum,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,14,2.7143,15.2000,0.0000,0.0000,2.7750,4.7458,14,48.1021,228.6800,0.0000,0.0000,84.0525,77.5393,14,22.8002,26.9845,17.5941,21.1861,26.2912,3.2727,814.2857,,460.0000,2.7750,102.2368,15.2000,174.8462,,375.4050,84.0525,174.7375,228.6800,161.1972,-22.8334,18.3518,5.1051,22.3904,9.3903,14.3540
Quorum,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,17,2.0824,10.9000,0.0000,0.0000,2.2000,3.2537,17,15.6382,128.4100,0.0000,0.0000,14.5500,29.8643,17,23.1775,28.8727,18.0973,21.3045,24.6387,3.1904,625.0000,,423.4463,2.2000,105.6497,10.9000,156.2510,,721.1285,14.5500,93.0412,128.4100,190.9698,-21.9186,24.5721,3.3343,14.3858,10.7754,13.7649
Quorum,torus,DDoS,8,16,10,2023,hop,10 nodes,0,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,10.4217,11.5634,8.9122,9.7534,11.1493,0.9699,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-14.4843,10.9547,1.3959,13.3942,2.6512,9.3068
Quorum,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,10.4144,12.6131,7.1486,9.8884,11.2862,1.4683,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-31.3585,21.1119,1.3979,13.4226,5.4645,14.0985
Quorum,torus,FIFA,8,16,10,2023,hop,10 nodes,0,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,9.6121,11.4085,6.6976,9.2510,10.1973,1.3287,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-30.3211,18.6886,0.9463,9.8444,4.7109,13.8228
Quorum,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,9.1324,11.6900,7.6631,8.2635,9.4217,1.3352,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-16.0895,28.0058,1.1581,12.6815,4.0270,14.6201
Quorum,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,10,85.2400,166.7000,38.8000,64.0250,94.6250,35.8754,10,114.7030,142.0400,47.9400,104.8650,136.9750,28.6985,10,14.4617,19.7986,9.1411,12.7699,16.6030,3.1695,15411.0000,-54.4815,95.5655,30.6000,35.8986,127.9000,42.0876,-58.2051,23.8329,32.1100,27.9940,94.1000,25.0198,-36.7911,36.9033,3.8331,26.5050,10.6575,21.9166
Quorum,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,14,3.3500,25.7000,0.0000,0.0000,0.7250,7.7639,14,37.3507,165.8100,0.0000,0.0000,32.1400,58.4867,14,14.8920,19.5461,11.4613,13.0826,16.1840,2.2650,606.5714,,667.1642,0.7250,21.6418,25.7000,231.7581,,343.9273,32.1400,86.0492,165.8100,156.5879,-23.0370,31.2525,3.1014,20.8261,8.0848,15.2093
Quorum,torus,Gaming,8,16,10,2023,hop,10 nodes,0,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,20.7369,23.4446,14.8878,20.0661,22.3251,2.5514,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-28.2065,13.0574,2.2591,10.8940,8.5569,12.3034
Quorum,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,21.1878,23.9000,15.8047,20.2748,22.3395,2.1816,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-25.4066,12.8006,2.0647,9.7449,8.0953,10.2965
Quorum,torus,PayPal,8,16,10,2023,hop,10 nodes,0,11,188.8818,198.0000,152.2000,195.3000,197.0500,16.9002,11,7.6418,12.0100,5.4200,7.0800,7.7900,1.6138,11,23.1133,26.6945,17.4596,21.4390,25.0572,2.9778,56659.5455,-19.4205,4.8275,1.7500,0.9265,45.8000,8.9475,-29.0745,57.1616,0.7100,9.2910,6.5900,21.1177,-24.4608,15.4943,3.6181,15.6539,9.2349,12.8833
Quorum,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,197.3077,198.2000,195.2000,196.6000,198.1000,1.0610,13,5.0723,5.2300,4.9700,5.0200,5.1100,0.0730,13,22.3644,27.2270,18.9694,20.2959,24.5493,2.8291,59179.9231,-1.0682,0.4522,1.5000,0.7602,3.0000,0.5378,-2.0170,3.1089,0.0900,1.7743,0.2600,1.4401,-15.1807,21.7423,4.2534,19.0186,8.2576,12.6501
Quorum,torus,VISA,8,16,10,2023,hop,10 nodes,0,11,0.7818,8.5000,0.0000,0.0000,0.0000,2.5600,11,8.8518,91.0700,0.0000,0.0000,1.4250,27.2981,11,21.3406,25.0511,17.3114,20.5713,22.3085,1.9879,236.1818,,987.2093,0.0000,0.0000,8.5000,327.4428,,928.8282,1.4250,16.0984,91.0700,308.3899,-18.8803,17.3873,1.7372,8.1405,7.7397,9.3150
