scope,factor,level,metric,statistic,aggregation,configuration_count,primary_value,defined_repetitions,median,q025,q975,minimum,maximum
six_workloads,workload,VISA,energy_positive_commit,mean,median,50,22.29517015012027,5000,22.39486951084433,22.15201909967599,22.619476712669712,21.971298075189438,22.806203759209655
six_workloads,workload,VISA,energy_positive_commit,iqr_pct,mean,50,15.176301233724985,5000,14.183264681198327,12.82773367787704,15.566018718964427,11.875797621700512,16.778536449904166
six_workloads,workload,VISA,energy_positive_commit,iqr_pct,median,50,14.561710648044059,5000,13.217933017757067,11.27214363426647,14.886598601396075,10.442271706088771,16.679007064562498
six_workloads,workload,VISA,energy_positive_commit,sample_std_pct,mean,50,13.130742448275068,5000,12.892943621483763,12.040998953907325,13.634081050855347,11.343696306649196,14.224809929245026
six_workloads,workload,VISA,energy_positive_commit,sample_std_pct,median,50,12.641478275853585,5000,12.406226080502547,11.48333071357414,13.392428974347078,10.762201084947671,14.295306249321595
six_workloads,workload,VISA,energy_positive_commit,delta_min_pct,mean,50,-20.57370275608924,5000,-17.992169906597987,-19.227355915136876,-16.668085529383948,-20.191398760646344,-14.737472197937173
six_workloads,workload,VISA,energy_positive_commit,delta_min_pct,median,50,-20.24735697782052,5000,-17.704517955980656,-19.406083771238844,-15.945834397621152,-20.55686730635172,-14.380252541364232
six_workloads,workload,VISA,energy_positive_commit,delta_max_pct,mean,50,21.492138795216114,5000,18.900493451162724,17.556003092773388,20.2406128639342,16.003036075556377,21.38188026461568
six_workloads,workload,VISA,energy_positive_commit,delta_max_pct,median,50,21.523046589520014,5000,18.14354566116491,16.008612882281987,20.08158934984851,14.232944582364883,21.16467963948338
six_workloads,workload,VISA,energy_positive_commit,range_abs,mean,50,9.427073725312285,5000,8.261284842847703,7.748260721351969,8.738873378953596,7.278021108738191,9.211565240029138
six_workloads,workload,VISA,energy_positive_commit,range_abs,median,50,9.018667788469704,5000,8.34757836725548,7.594395392072933,8.64579037782726,6.951420841308648,9.018667788469704
six_workloads,workload,VISA,energy_positive_commit,wcd_abs,mean,50,5.443165895843121,5000,4.776114893915322,4.438831539236906,5.075028990460243,4.201181167965109,5.314172592897653
six_workloads,workload,VISA,energy_positive_commit,wcd_abs,median,50,5.422781563041246,5000,4.697190661972836,4.321178774739463,5.116383440408992,3.9207593038811925,5.52661027725485
six_workloads,workload,VISA,energy_positive_commit,wcd_pct,mean,50,24.271903677903744,5000,21.333006665499486,19.848680224236357,22.661086871152907,18.680213092573243,23.738335380165736
six_workloads,workload,VISA,energy_positive_commit,wcd_pct,median,50,24.428500473975827,5000,21.05959150847758,19.319276647893933,22.883010505607373,17.739866840996328,24.376232978101452
six_workloads,network_size,10 nodes,energy_positive_commit,mean,mean,150,17.03343237127633,5000,17.03960380300532,16.932492049360903,17.15213192148786,16.845475450960627,17.240835544425156
six_workloads,network_size,10 nodes,energy_positive_commit,mean,median,150,20.310405395205635,5000,19.86148744676801,19.33972821246214,20.316646418153347,18.15515261642012,20.635318239976016
six_workloads,network_size,10 nodes,energy_positive_commit,iqr_pct,mean,150,16.58309014181338,5000,15.785393942139226,14.944758721079157,16.611210909566392,14.366507025680498,17.198754659726596
six_workloads,network_size,10 nodes,energy_positive_commit,iqr_pct,median,150,16.216773806720308,5000,14.983542811716951,13.864182987429162,16.269398608636905,12.955152216551983,17.221121064545144
six_workloads,network_size,10 nodes,energy_positive_commit,sample_std_pct,mean,150,13.814413256300645,5000,13.77234296479645,13.323824297793598,14.186775007654854,13.047947055045704,14.50191599244557
six_workloads,network_size,10 nodes,energy_positive_commit,sample_std_pct,median,150,13.512236107127325,5000,13.291810795656776,12.7351392313495,13.897945286426152,12.37304491586756,14.55038118307072
six_workloads,network_size,10 nodes,energy_positive_commit,delta_min_pct,mean,150,-22.91818945508162,5000,-20.28453938257947,-21.00700724939695,-19.484240128828578,-21.499016006997447,-18.91765077693009
six_workloads,network_size,10 nodes,energy_positive_commit,delta_min_pct,median,150,-23.328831149578818,5000,-19.684984486245778,-20.95200500373143,-18.408040607376428,-22.017841034939384,-17.53505851931006
six_workloads,network_size,10 nodes,energy_positive_commit,delta_max_pct,mean,150,22.74748453816306,5000,20.126063031640044,19.318015939365,20.93022045460738,18.595330069581642,21.756846739346024
six_workloads,network_size,10 nodes,energy_positive_commit,delta_max_pct,median,150,23.059934607349124,5000,19.458761095168907,18.240996865745995,20.56242039759396,17.203914686333626,21.660013584686993
six_workloads,network_size,10 nodes,energy_positive_commit,range_abs,mean,150,7.66226690353996,5000,6.7450319053521035,6.499087975035957,6.962560155144843,6.312707044161706,7.151414379431335
six_workloads,network_size,10 nodes,energy_positive_commit,range_abs,median,150,7.383982992965532,5000,6.453999211860355,6.023320760321983,6.722659220255464,5.862853469200033,7.098557116839849
six_workloads,network_size,10 nodes,energy_positive_commit,wcd_abs,mean,150,4.3884102248186245,5000,3.898593727093564,3.7409031405243174,4.037956512488403,3.635615520242975,4.159744792224941
six_workloads,network_size,10 nodes,energy_positive_commit,wcd_abs,median,150,4.139637827514527,5000,3.67439310661676,3.4313773103771856,3.887763376583546,3.257703018275687,4.0904920969456775
six_workloads,network_size,10 nodes,energy_positive_commit,wcd_pct,mean,150,25.968800336126744,5000,23.227924703529627,22.38207496121722,24.003263100263887,21.65234649211111,24.761917148787866
six_workloads,network_size,10 nodes,energy_positive_commit,wcd_pct,median,150,25.30682666726819,5000,22.87171271733501,21.796736792874622,23.91875651646071,20.727102410154377,24.762954989789286
six_workloads,network_size,40 nodes,energy_positive_commit,mean,mean,150,17.189335019476214,5000,17.166116822290306,17.01107512751304,17.31086030276692,16.84592296440811,17.43768639584637
six_workloads,network_size,40 nodes,energy_positive_commit,mean,median,150,20.20210061389661,5000,19.74133966748402,17.44163082367488,20.36857902333283,15.4023011415858,20.771309997659117
six_workloads,network_size,40 nodes,energy_positive_commit,iqr_pct,mean,150,17.291828846916353,5000,16.51380101477504,15.574925148936304,17.472932662625308,14.789824448101038,18.41729350105715
six_workloads,network_size,40 nodes,energy_positive_commit,iqr_pct,median,150,17.947244151275598,5000,15.918901129504729,14.693543549495296,17.255936828920962,13.633911980490213,18.36738259814152
six_workloads,network_size,40 nodes,energy_positive_commit,sample_std_pct,mean,150,14.137387458005835,5000,14.060670747644672,13.638160492987497,14.46134890573369,13.271337333792733,14.89591787904723
six_workloads,network_size,40 nodes,energy_positive_commit,sample_std_pct,median,150,14.360116452087883,5000,14.025625137364921,13.411601044863321,14.643559223659476,12.734429289140909,15.128886972686635
six_workloads,network_size,40 nodes,energy_positive_commit,delta_min_pct,mean,150,-22.23288531652305,5000,-20.141051037303466,-20.941079296427624,-19.31708986746327,-21.443521231532007,-18.73448466135868
six_workloads,network_size,40 nodes,energy_positive_commit,delta_min_pct,median,150,-22.498672933800513,5000,-20.19629982914048,-21.30664131833372,-19.25960235471652,-22.563236997691305,-18.27880012969503
six_workloads,network_size,40 nodes,energy_positive_commit,delta_max_pct,mean,150,22.40767742794434,5000,20.22740096571965,19.41637578052513,21.094687157051737,18.831993934285517,21.764236665676734
