blockchain,mode,workload,network_size,metric,eligible_observations,eligible_hash_batches,hash_batches_with_at_least_two_eligible_executions,total_sum_of_squares,within_hash_sum_of_squares,between_hash_sum_of_squares,decomposition_identity_error,between_hash_fraction,decomposition_available,strict_sensitivity
Ethereum,fat-tree,Gaming,40 nodes,Latency,13,3,2,1535.8753230769235,800.62201,735.2533130769235,1.1368683772161603e-13,0.4787193999601091,True,True
Ethereum,fat-tree,PayPal,10 nodes,Latency,14,4,2,9632.60957142857,458.59739999999994,9174.01217142857,1.8189894035458565e-12,0.9523911566643113,True,True
Ethereum,fat-tree,PayPal,40 nodes,Latency,13,3,2,204.5628769230771,200.66704000000018,3.895836923076848,7.993605777301127e-14,0.019044691694191516,True,True
Ethereum,fat-tree,VISA,10 nodes,Latency,13,3,2,7491.23609230769,998.8604900000001,6492.3756023076885,1.8189894035458565e-12,0.8666627940046272,True,True
Ethereum,fat-tree,VISA,40 nodes,Latency,13,3,2,962.1849076923081,732.6138100000007,229.57109769230775,3.694822225952521e-13,0.2385935342125747,True,True
Ethereum,full mesh,DDoS,10 nodes,Latency,11,2,1,892.8928545454546,685.72084,207.17201454545446,1.9895196601282805e-13,0.23202337603084483,True,False
Ethereum,full mesh,DDoS,40 nodes,Latency,13,3,2,332.8802923076923,320.21000999999995,12.670282307692208,1.2434497875801753e-13,0.03806257865208988,True,True
Ethereum,full mesh,FIFA,10 nodes,Latency,13,4,2,739.4008769230768,556.1076888888889,183.29318803418798,8.526512829121202e-14,0.24789419887752823,True,True
Ethereum,full mesh,FIFA,40 nodes,Latency,13,3,2,604.7348,593.62169,11.113109999999972,3.375077994860476e-14,0.018376832290782626,True,True
Ethereum,full mesh,GAFAM,10 nodes,Latency,13,3,2,767.993076923077,760.80149,7.191586923076982,2.930988785010413e-14,0.009364129884985016,True,True
Ethereum,full mesh,GAFAM,40 nodes,Latency,13,3,2,239.25576923076915,229.11920999999987,10.136559230769317,3.730349362740526e-14,0.04236704202937029,True,True
Ethereum,full mesh,Gaming,10 nodes,Latency,13,3,2,3800.136676923077,3719.5230899999997,80.61358692307688,6.110667527536862e-13,0.021213338828736203,True,True
Ethereum,full mesh,Gaming,40 nodes,Latency,13,3,2,846.2298000000004,731.1270900000003,115.10271000000002,9.947598300641403e-14,0.13601826596038094,True,True
Ethereum,full mesh,PayPal,10 nodes,Latency,13,3,2,2332.0307692307697,1466.7485000000001,865.2822692307693,2.2737367544323206e-13,0.37104238959770947,True,True
Ethereum,full mesh,PayPal,40 nodes,Latency,13,3,2,121.82963076923055,88.6585599999998,33.171070769230575,1.7763568394002505e-13,0.2722742452701277,True,True
Ethereum,full mesh,VISA,10 nodes,Latency,13,3,2,5179.244600000001,3629.1134900000015,1550.13111,6.821210263296962e-13,0.2992967565192808,True,True
Ethereum,full mesh,VISA,40 nodes,Latency,13,3,2,572.7499692307692,465.58724000000007,107.16272923076951,3.410605131648481e-13,0.187102112593204,True,True
Ethereum,hypercube,DDoS,10 nodes,Latency,13,3,2,3837.381923076922,630.1131599999997,3207.2687630769224,0.0,0.8357960785162721,True,True
Ethereum,hypercube,DDoS,40 nodes,Latency,13,3,2,541.7191230769232,424.4004400000002,117.31868307692292,1.1368683772161603e-13,0.21656736504069077,True,True
Ethereum,hypercube,FIFA,10 nodes,Latency,12,3,2,413.03436666666664,399.1328722222222,13.901494444444456,1.7763568394002505e-14,0.03365699216904015,True,True
Ethereum,hypercube,FIFA,40 nodes,Latency,13,3,2,946.727276923077,755.82216,190.90511692307675,2.5579538487363607e-13,0.2016474243179412,True,True
