blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived
Ethereum,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Ethereum,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Ethereum,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Ethereum,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Ethereum,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,FIFA,8,16,10,2023,hop,10 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit
Ethereum,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit
Ethereum,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,Gaming,8,16,10,2023,hop,10 nodes,0,15,14,14,0,1,0,14,0,14,14,15,14,15,mixed_outcomes
Ethereum,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,PayPal,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit
Ethereum,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,torus,VISA,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit
Ethereum,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Quorum,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,15,15,10,5,0,0,10,0,10,10,15,10,15,mixed_outcomes
Quorum,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,16,16,8,8,0,0,8,0,8,8,16,8,16,mixed_outcomes
Quorum,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,16,15,0,15,1,0,0,0,0,0,16,0,16,no_positive_commit
Quorum,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Quorum,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Quorum,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,3,10,0,0,3,0,3,3,13,3,13,mixed_outcomes
Quorum,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Quorum,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit
Quorum,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,10,3,0,0,10,0,10,10,13,10,13,mixed_outcomes
Quorum,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,14,14,2,12,0,0,2,0,2,2,14,2,14,mixed_outcomes
